                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.92411,                0.93351,                 1.1181,                0.77792,                 0.4356,                0.51598,                0.34689,                 1.3156,                 1.2012,                 1.4401,               0.004225,               0.004225,               0.004225
                     72,                0.92408,                0.93122,                  1.114,                0.76309,                0.45219,                0.51895,                0.34496,                 1.3134,                 1.2047,                 1.4565,              0.0041425,              0.0041425,              0.0041425
                     73,                0.91419,                0.90964,                 1.1098,                 0.6593,                0.45419,                0.52332,                0.34146,                 1.3351,                 1.2926,                  1.482,                0.00406,                0.00406,                0.00406
                     74,                0.91543,                0.89563,                 1.0926,                0.77906,                 0.4517,                0.54021,                0.34543,                 1.3446,                 1.2388,                 1.4873,              0.0039775,              0.0039775,              0.0039775
                     75,                0.91474,                0.92394,                 1.1018,                0.71288,                0.47626,                0.52177,                0.34084,                 1.3411,                  1.249,                 1.4996,               0.003895,               0.003895,               0.003895
                     76,                0.89871,                0.88586,                 1.1009,                0.65682,                0.47553,                0.50506,                0.33587,                 1.3453,                 1.2379,                 1.4813,              0.0038125,              0.0038125,              0.0038125
                     77,                0.90671,                0.89995,                 1.0935,                0.72114,                0.47341,                0.52101,                0.34356,                  1.347,                 1.2699,                 1.4868,                0.00373,                0.00373,                0.00373
                     78,                 0.9178,                0.89417,                 1.1066,                0.76878,                 0.4678,                0.51805,                0.34266,                 1.3348,                 1.2846,                 1.4841,              0.0036475,              0.0036475,              0.0036475
                     79,                0.90477,                0.88691,                 1.0986,                 0.7352,                0.46176,                0.52403,                0.35592,                 1.3121,                 1.2402,                 1.4578,               0.003565,               0.003565,               0.003565
                     80,                0.86989,                0.84508,                 1.0768,                0.68885,                0.47709,                0.51635,                0.34968,                 1.3225,                 1.2078,                 1.4739,              0.0034825,              0.0034825,              0.0034825
                     81,                0.87616,                0.86791,                 1.0938,                0.72506,                0.47349,                0.52097,                 0.3563,                 1.3186,                 1.2212,                 1.4627,                 0.0034,                 0.0034,                 0.0034
                     82,                0.90254,                0.88919,                 1.1053,                0.77942,                0.47027,                0.53384,                0.36091,                 1.3137,                  1.225,                 1.4579,              0.0033175,              0.0033175,              0.0033175
                     83,                0.88122,                0.85629,                  1.085,                0.80024,                0.45646,                0.52797,                0.35752,                 1.3091,                 1.2469,                 1.4566,               0.003235,               0.003235,               0.003235
                     84,                0.87898,                0.84612,                 1.0747,                 0.7099,                0.48296,                0.51087,                0.34585,                 1.2989,                  1.264,                 1.4627,              0.0031525,              0.0031525,              0.0031525
                     85,                0.85014,                0.83794,                 1.0616,                0.63697,                0.49902,                0.53313,                0.36264,                 1.2669,                 1.1781,                 1.4261,                0.00307,                0.00307,                0.00307
                     86,                0.86687,                0.82564,                 1.0713,                0.61645,                0.49836,                0.52764,                0.36417,                 1.2772,                 1.2109,                 1.4355,              0.0029875,              0.0029875,              0.0029875
                     87,                0.86829,                0.83259,                 1.0824,                0.81384,                  0.453,                0.52961,                0.35921,                 1.2896,                 1.2233,                 1.4497,               0.002905,               0.002905,               0.002905
                     88,                0.87529,                0.83048,                 1.0775,                0.81942,                0.45368,                0.52985,                0.35971,                 1.3146,                 1.2745,                  1.466,              0.0028225,              0.0028225,              0.0028225
                     89,                 0.8737,                0.81278,                 1.0634,                0.72118,                0.47652,                0.52176,                0.35769,                 1.3141,                 1.2058,                 1.4616,                0.00274,                0.00274,                0.00274
                     90,                0.87082,                0.82244,                 1.0706,                0.74323,                0.47886,                0.53785,                0.36412,                 1.3087,                 1.2209,                 1.4704,              0.0026575,              0.0026575,              0.0026575
                     91,                0.84787,                0.82972,                 1.0684,                 0.6571,                0.50744,                0.54928,                0.36446,                 1.3085,                 1.1849,                 1.4583,               0.002575,               0.002575,               0.002575
                     92,                0.85356,                0.80921,                 1.0626,                 0.7807,                0.45945,                0.53434,                0.35728,                 1.3077,                 1.1812,                 1.4599,              0.0024925,              0.0024925,              0.0024925
                     93,                0.79908,                0.79317,                 1.0475,                0.61835,                0.51867,                0.53562,                0.36814,                 1.2973,                  1.174,                 1.4473,                0.00241,                0.00241,                0.00241
                     94,                0.83913,                0.80968,                 1.0737,                0.72339,                0.47746,                0.52572,                0.36357,                 1.3026,                 1.2225,                 1.4543,              0.0023275,              0.0023275,              0.0023275
                     95,                0.82669,                0.78838,                 1.0474,                0.72143,                 0.4846,                0.52559,                0.35857,                 1.3024,                 1.1983,                 1.4633,               0.002245,               0.002245,               0.002245
                     96,                0.83219,                0.78062,                 1.0542,                0.67043,                0.48531,                0.53294,                0.36414,                 1.3038,                  1.201,                 1.4746,              0.0021625,              0.0021625,              0.0021625
                     97,                0.83291,                0.78587,                 1.0534,                0.76955,                0.47195,                0.53642,                0.36155,                  1.298,                  1.192,                 1.4687,                0.00208,                0.00208,                0.00208
                     98,                0.81719,                0.80602,                 1.0653,                0.76735,                 0.4805,                 0.5331,                0.35614,                  1.305,                 1.2087,                 1.4732,              0.0019975,              0.0019975,              0.0019975
                     99,                 0.8064,                0.76583,                 1.0424,                0.78736,                0.47062,                0.52658,                0.36103,                 1.3083,                 1.2106,                 1.4659,               0.001915,               0.001915,               0.001915
                    100,                0.79448,                0.75026,                 1.0356,                0.82011,                0.45391,                0.51526,                0.35251,                 1.2951,                 1.2192,                 1.4551,              0.0018325,              0.0018325,              0.0018325
                    101,                0.82244,                 0.7675,                 1.0339,                 0.8185,                0.44342,                0.52062,                0.35588,                 1.2902,                 1.2069,                 1.4538,                0.00175,                0.00175,                0.00175
                    102,                 0.8242,                0.76099,                 1.0384,                0.79107,                0.46304,                0.53396,                0.35979,                 1.2816,                 1.1774,                 1.4531,              0.0016675,              0.0016675,              0.0016675
                    103,                0.81267,                0.76302,                 1.0393,                 0.7969,                0.47679,                0.53128,                0.35485,                 1.2789,                 1.2011,                 1.4566,               0.001585,               0.001585,               0.001585
                    104,                0.79222,                0.77455,                 1.0415,                0.82407,                0.45885,                0.53479,                0.37358,                 1.2873,                 1.1792,                 1.4647,              0.0015025,              0.0015025,              0.0015025
                    105,                0.80057,                0.75143,                 1.0439,                0.84936,                0.44954,                0.53762,                0.36639,                  1.291,                 1.1841,                  1.474,                0.00142,                0.00142,                0.00142
                    106,                0.80654,                0.74476,                 1.0366,                  0.836,                0.45274,                0.53447,                0.35823,                 1.3106,                 1.1761,                 1.4901,              0.0013375,              0.0013375,              0.0013375
                    107,                0.78525,                 0.7429,                 1.0317,                0.78409,                0.46976,                0.53206,                0.36445,                 1.2949,                 1.1986,                 1.4702,               0.001255,               0.001255,               0.001255
                    108,                0.77494,                0.73336,                  1.036,                0.79919,                0.46613,                0.53272,                0.36801,                 1.2937,                 1.1821,                 1.4713,              0.0011725,              0.0011725,              0.0011725
                    109,                0.79625,                0.74771,                  1.049,                0.79702,                  0.459,                0.52138,                0.36193,                 1.2927,                 1.1908,                 1.4692,                0.00109,                0.00109,                0.00109
                    110,                0.77558,                0.73457,                 1.0303,                0.82013,                0.44779,                0.52153,                0.35982,                 1.2972,                  1.202,                 1.4714,              0.0010075,              0.0010075,              0.0010075
                    111,                 0.7901,                0.75138,                 1.0418,                0.76585,                0.47652,                0.52769,                0.36178,                 1.2924,                 1.1861,                 1.4587,               0.000925,               0.000925,               0.000925
                    112,                0.76486,                0.73008,                 1.0238,                0.81481,                0.45867,                0.53358,                0.36669,                 1.2802,                 1.1893,                 1.4575,              0.0008425,              0.0008425,              0.0008425
                    113,                 0.7736,                0.70966,                 1.0159,                 0.8118,                0.45971,                0.53398,                0.36659,                 1.2818,                 1.1985,                 1.4589,                0.00076,                0.00076,                0.00076
                    114,                 0.7699,                 0.7239,                 1.0232,                0.82414,                0.45488,                0.53643,                0.36999,                 1.2805,                 1.1907,                 1.4637,              0.0006775,              0.0006775,              0.0006775
                    115,                0.76285,                 0.7226,                  1.021,                0.82819,                 0.4579,                0.54162,                0.36956,                 1.2857,                 1.1897,                 1.4684,               0.000595,               0.000595,               0.000595
                    116,                0.76653,                 0.7228,                 1.0248,                 0.8307,                0.45848,                0.54559,                0.37399,                  1.286,                 1.1896,                 1.4627,              0.0005125,              0.0005125,              0.0005125
                    117,                0.76654,                0.71426,                 1.0224,                0.80906,                0.46369,                0.54629,                0.37367,                 1.2834,                 1.1696,                 1.4619,                0.00043,                0.00043,                0.00043
                    118,                0.75872,                0.71978,                 1.0164,                0.80549,                0.45917,                0.54142,                0.37008,                 1.2804,                 1.1717,                 1.4554,              0.0003475,              0.0003475,              0.0003475
                    119,                0.76368,                0.70541,                 1.0182,                0.80886,                0.45992,                0.53896,                0.37366,                 1.2838,                 1.1727,                 1.4582,               0.000265,               0.000265,               0.000265
